#Elements,Time
30000,159
40000,252
50000,392
60000,573
70000,772
80000,985
90000,1300
100000,1537
110000,1873
120000,2176
130000,2634
140000,3079
150000,3459
160000,3939
170000,4499
180000,5099
190000,5962
200000,6516
210000,7088
220000,7692
230000,7987
240000,9341
250000,9981
260000,10245
270000,11037
280000,11889
290000,12893
300000,13801
